Instan,TanggalWaktu,Musim,Tahun,Bulan,Libur,HariKerja,HariKerjaAktif,KondisiCuaca,Suhu,SuhuTerasa,Kelembaban,KecepatanAngin,Kasual,Terdaftar,Jumlah,Suhu Celcius,SuhuTerasa Celcius
1,2011-01-01,Musim Semi,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14.110847,18.18125
2,2011-01-02,Musim Semi,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,14.902598000000001,17.686950000000003
3,2011-01-03,Musim Semi,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,8.050924,9.47025
4,2011-01-04,Musim Semi,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,8.200000000000001,10.6061
5,2011-01-05,Musim Semi,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,9.305237,11.4635
6,2011-01-06,Musim Semi,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,8.378268,11.66045
7,2011-01-07,Musim Semi,2011,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,8.057402,10.44195
8,2011-01-08,Musim Semi,2011,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,6.765000000000001,8.1127
9,2011-01-09,Musim Semi,2011,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,5.671653,5.80875
10,2011-01-10,Musim Semi,2011,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,6.184153,7.5443999999999996
11,2011-01-11,Musim Semi,2011,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,6.9327309999999995,9.5732
12,2011-01-12,Musim Semi,2011,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,7.0818069999999995,8.02365
13,2011-01-13,Musim Semi,2011,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,6.765000000000001,7.544149999999999
14,2011-01-14,Musim Semi,2011,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,6.59567,9.42065
15,2011-01-15,Musim Semi,2011,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,9.566653,12.4056
16,2011-01-16,Musim Semi,2011,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,9.498347,11.71085
17,2011-01-17,Musim Semi,2011,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,7.209153,8.838550000000001
18,2011-01-18,Musim Semi,2011,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,8.883347,11.61665
19,2011-01-19,Musim Semi,2011,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,11.979134,14.921100000000001
20,2011-01-20,Musim Semi,2011,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,10.728347,12.7525
21,2011-01-21,Musim Semi,2011,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,7.2775,7.89165
22,2011-01-22,Musim Semi,2011,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,2.4243464,3.9534800000000003
23,2011-01-23,Musim Semi,2011,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,3.9573897000000002,4.941955
24,2011-01-24,Musim Semi,2011,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,3.9930433,5.8965
25,2011-01-25,Musim Semi,2011,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,9.162598000000001,11.7263
26,2011-01-26,Musim Semi,2011,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,8.9175,10.18
27,2011-01-27,Musim Semi,2011,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,7.995,10.985
28,2011-01-28,Musim Semi,2011,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,8.342597999999999,11.165849999999999
29,2011-01-29,Musim Semi,2011,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,8.057402,10.606300000000001
30,2011-01-30,Musim Semi,2011,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,8.877402,12.5161
31,2011-01-31,Musim Semi,2011,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,7.414153,9.3125
32,2011-02-01,Musim Semi,2011,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,7.8791340000000005,11.7265
33,2011-02-02,Musim Semi,2011,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,10.66,12.72085
34,2011-02-03,Musim Semi,2011,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,7.665237,8.8939
35,2011-02-04,Musim Semi,2011,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,8.663464,11.429350000000001
36,2011-02-05,Musim Semi,2011,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,9.566653,12.152899999999999
37,2011-02-06,Musim Semi,2011,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,11.719153,14.58355
38,2011-02-07,Musim Semi,2011,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,11.138347,15.1829
39,2011-02-08,Musim Semi,2011,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,9.054153,9.9123
40,2011-02-09,Musim Semi,2011,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,5.526102999999999,7.21415
41,2011-02-10,Musim Semi,2011,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,5.918268,7.477399999999999
42,2011-02-11,Musim Semi,2011,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,7.752731000000001,10.67545
43,2011-02-12,Musim Semi,2011,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,9.1225,11.6477
44,2011-02-13,Musim Semi,2011,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,12.977402000000001,16.20565
45,2011-02-14,Musim Semi,2011,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,17.015,19.9175
46,2011-02-15,Musim Semi,2011,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,10.909567000000001,12.7137
47,2011-02-16,Musim Semi,2011,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,13.048701000000001,15.809999999999999
48,2011-02-17,Musim Semi,2011,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,17.869153,21.4329
49,2011-02-18,Musim Semi,2011,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,21.388347,25.599149999999998
50,2011-02-19,Musim Semi,2011,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,16.365847,19.5702
51,2011-02-20,Musim Semi,2011,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,11.693897,13.8665
52,2011-02-21,Musim Semi,2011,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,12.436653000000002,14.203750000000001
53,2011-02-22,Musim Semi,2011,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,7.471102,9.30165
54,2011-02-23,Musim Semi,2011,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,9.091299,12.28585
55,2011-02-24,Musim Semi,2011,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,12.121732000000002,14.459549999999998
56,2011-02-25,Musim Semi,2011,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,14.938268,17.52305
57,2011-02-26,Musim Semi,2011,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,11.5825,14.1096
58,2011-02-27,Musim Semi,2011,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,14.082598,17.55545
59,2011-02-28,Musim Semi,2011,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,16.698193,20.005899999999997
60,2011-03-01,Musim Semi,2011,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,10.933347,13.19395
61,2011-03-02,Musim Semi,2011,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,13.735000000000001,16.00355
62,2011-03-03,Musim Semi,2011,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,8.131653,10.00665
63,2011-03-04,Musim Semi,2011,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,10.728347,12.783949999999999
64,2011-03-05,Musim Semi,2011,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,15.750846999999998,18.93895
65,2011-03-06,Musim Semi,2011,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,15.437402,18.3126
66,2011-03-07,Musim Semi,2011,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,10.731299,11.92305
67,2011-03-08,Musim Semi,2011,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,11.9925,15.120000000000001
68,2011-03-09,Musim Semi,2011,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,12.129153,14.3304
69,2011-03-10,Musim Semi,2011,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,15.952731,19.2834
70,2011-03-11,Musim Semi,2011,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,12.977402000000001,15.25
71,2011-03-12,Musim Semi,2011,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,13.495847,16.287499999999998
72,2011-03-13,Musim Semi,2011,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,15.758268000000001,19.004550000000002
73,2011-03-14,Musim Semi,2011,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,13.333896999999999,16.6
74,2011-03-15,Musim Semi,2011,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,13.013031,15.908900000000001
75,2011-03-16,Musim Semi,2011,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,14.973897000000001,18.3465
76,2011-03-17,Musim Semi,2011,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,17.015,20.51665
77,2011-03-18,Musim Semi,2011,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,22.14,26.35045
78,2011-03-19,Musim Semi,2011,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,19.3725,23.32625
79,2011-03-20,Musim Semi,2011,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,13.6325,16.287499999999998
80,2011-03-21,Musim Panas,2011,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,17.647835,20.48675
81,2011-03-22,Musim Panas,2011,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,18.108347,22.0321
82,2011-03-23,Musim Panas,2011,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,14.225237,16.89695
83,2011-03-24,Musim Panas,2011,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,11.684999999999999,13.541649999999999
84,2011-03-25,Musim Panas,2011,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,10.830846999999999,12.8156
85,2011-03-26,Musim Panas,2011,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,10.899153,12.87855
86,2011-03-27,Musim Panas,2011,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,10.374763000000002,12.51695
87,2011-03-28,Musim Panas,2011,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,10.838268000000001,12.878700000000002
88,2011-03-29,Musim Panas,2011,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,12.4025,14.6454
89,2011-03-30,Musim Panas,2011,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,12.299999999999999,14.8675
90,2011-03-31,Musim Panas,2011,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,11.001653,12.87875
91,2011-04-01,Musim Panas,2011,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,12.299999999999999,14.172699999999999
92,2011-04-02,Musim Panas,2011,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,12.915000000000001,15.78185
93,2011-04-03,Musim Panas,2011,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,15.511652999999999,18.93835
94,2011-04-04,Musim Panas,2011,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,23.506653,27.14645
95,2011-04-05,Musim Panas,2011,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,16.980847,19.9175
96,2011-04-06,Musim Panas,2011,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,16.024153,19.3804
97,2011-04-07,Musim Panas,2011,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,17.9375,21.684800000000003
98,2011-04-08,Musim Panas,2011,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,13.769153,16.223950000000002
99,2011-04-09,Musim Panas,2011,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,14.0425,17.07645
100,2011-04-10,Musim Panas,2011,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,17.493347,21.33685
101,2011-04-11,Musim Panas,2011,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,24.421732,28.260849999999998
102,2011-04-12,Musim Panas,2011,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,20.6025,24.6527
103,2011-04-13,Musim Panas,2011,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,16.912499999999998,20.864150000000002
104,2011-04-14,Musim Panas,2011,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,19.1675,23.1371
105,2011-04-15,Musim Panas,2011,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,18.313347,22.09565
106,2011-04-16,Musim Panas,2011,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,17.664153000000002,21.2746
107,2011-04-17,Musim Panas,2011,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,18.723347,22.2848
108,2011-04-18,Musim Panas,2011,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,21.0125,25.1573
109,2011-04-19,Musim Panas,2011,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,20.739152999999998,24.4629
110,2011-04-20,Musim Panas,2011,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,24.395,28.2196
111,2011-04-21,Musim Panas,2011,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,18.825847,22.6946
112,2011-04-22,Musim Panas,2011,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,13.803347,16.0977
113,2011-04-23,Musim Panas,2011,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,18.86,22.50605
114,2011-04-24,Musim Panas,2011,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,23.848347,27.58815
115,2011-04-25,Musim Panas,2011,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,24.873347,28.725
116,2011-04-26,Musim Panas,2011,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,25.898346999999998,29.704150000000002
117,2011-04-27,Musim Panas,2011,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,25.419999999999998,28.7571
118,2011-04-28,Musim Panas,2011,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,25.317500000000003,28.946450000000002
119,2011-04-29,Musim Panas,2011,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,20.91,24.87315
120,2011-04-30,Musim Panas,2011,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,19.3725,23.201050000000002
121,2011-05-01,Musim Panas,2011,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,18.518347,22.4102
122,2011-05-02,Musim Panas,2011,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,22.515846999999997,26.64165
123,2011-05-03,Musim Panas,2011,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,25.283347,29.10395
124,2011-05-04,Musim Panas,2011,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,16.980847,20.2325
125,2011-05-05,Musim Panas,2011,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,18.825847,22.09585
126,2011-05-06,Musim Panas,2011,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,19.645847,23.70585
127,2011-05-07,Musim Panas,2011,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,21.32,25.63105
128,2011-05-08,Musim Panas,2011,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,21.661653,25.946649999999998
129,2011-05-09,Musim Panas,2011,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,21.8325,26.2623
130,2011-05-10,Musim Panas,2011,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,21.8325,26.13605
131,2011-05-11,Musim Panas,2011,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,22.2425,26.419999999999998
132,2011-05-12,Musim Panas,2011,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,21.935000000000002,26.16815
133,2011-05-13,Musim Panas,2011,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,21.0125,24.715
134,2011-05-14,Musim Panas,2011,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,21.354153,25.03145
135,2011-05-15,Musim Panas,2011,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,23.0625,26.8
136,2011-05-16,Musim Panas,2011,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,23.677500000000002,27.5256
137,2011-05-17,Musim Panas,2011,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,23.028347,26.926450000000003
138,2011-05-18,Musim Panas,2011,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,22.55,26.3579
139,2011-05-19,Musim Panas,2011,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,21.764153,25.537100000000002
140,2011-05-20,Musim Panas,2011,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,22.003347,26.4521
141,2011-05-21,Musim Panas,2011,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,24.7025,28.59875
142,2011-05-22,Musim Panas,2011,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,24.770847,28.725
143,2011-05-23,Musim Panas,2011,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,25.898346999999998,29.5148
144,2011-05-24,Musim Panas,2011,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,27.060000000000002,30.240650000000002
145,2011-05-25,Musim Panas,2011,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,27.094153,30.7771
146,2011-05-26,Musim Panas,2011,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,29.041653,32.7344
147,2011-05-27,Musim Panas,2011,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,27.948347000000002,31.8504
148,2011-05-28,Musim Panas,2011,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,26.889153,30.61895
149,2011-05-29,Musim Panas,2011,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,27.3675,30.777500000000003
150,2011-05-30,Musim Panas,2011,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,30.066653000000002,33.5546
151,2011-05-31,Musim Panas,2011,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,31.775000000000002,36.26915
152,2011-06-01,Musim Panas,2011,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,31.330847000000002,36.04835
153,2011-06-02,Musim Panas,2011,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,29.314999999999998,32.1971
154,2011-06-03,Musim Panas,2011,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,25.419999999999998,29.356650000000002
155,2011-06-04,Musim Panas,2011,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,26.035,29.7348
156,2011-06-05,Musim Panas,2011,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,26.581653000000003,30.8402
157,2011-06-06,Musim Panas,2011,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,27.811653,31.0929
158,2011-06-07,Musim Panas,2011,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,29.0075,32.7975
159,2011-06-08,Musim Panas,2011,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,31.809153,36.36395
160,2011-06-09,Musim Panas,2011,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,33.141653,37.87895
161,2011-06-10,Musim Panas,2011,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,30.955000000000002,35.1646
162,2011-06-11,Musim Panas,2011,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,29.724999999999998,33.901900000000005
163,2011-06-12,Musim Panas,2011,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,28.392500000000002,32.166250000000005
164,2011-06-13,Musim Panas,2011,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,26.035,30.082700000000003
165,2011-06-14,Musim Panas,2011,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,24.770847,29.5773
166,2011-06-15,Musim Panas,2011,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,25.693347,29.3877
167,2011-06-16,Musim Panas,2011,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,25.761653000000003,29.767300000000002
168,2011-06-17,Musim Panas,2011,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,26.615847000000002,30.01915
169,2011-06-18,Musim Panas,2011,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,28.563347,32.197700000000005
170,2011-06-19,Musim Panas,2011,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,28.665847,32.292300000000004
171,2011-06-20,Musim Panas,2011,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,26.035,29.767300000000002
172,2011-06-21,Musim Gugur,2011,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,27.914153000000002,31.8823
173,2011-06-22,Musim Gugur,2011,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,30.066653000000002,34.69145
174,2011-06-23,Musim Gugur,2011,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,29.861653,34.69165
175,2011-06-24,Musim Gugur,2011,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,29.690847,32.82915
176,2011-06-25,Musim Gugur,2011,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,28.494999999999997,32.16565
177,2011-06-26,Musim Gugur,2011,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,27.880000000000003,31.88145
178,2011-06-27,Musim Gugur,2011,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,27.982499999999998,31.8502
179,2011-06-28,Musim Gugur,2011,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,30.510847000000002,34.6279
180,2011-06-29,Musim Gugur,2011,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,29.861653,32.7344
181,2011-06-30,Musim Gugur,2011,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,28.563347,31.8504
182,2011-07-01,Musim Gugur,2011,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,29.622500000000002,32.6081
183,2011-07-02,Musim Gugur,2011,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,30.271653,33.3654
184,2011-07-03,Musim Gugur,2011,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,29.383347,33.42875
