Instan,TanggalWaktu,Musim,Tahun,Bulan,Libur,HariKerja,HariKerjaAktif,KondisiCuaca,Suhu,SuhuTerasa,Kelembaban,KecepatanAngin,Kasual,Terdaftar,Jumlah,Suhu Celcius,SuhuTerasa Celcius
185,2011-07-04,Musim Gugur,2011,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,29.793346999999997,33.27085
186,2011-07-05,Musim Gugur,2011,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,30.613346999999997,34.816900000000004
187,2011-07-06,Musim Gugur,2011,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,29.52,34.28165
188,2011-07-07,Musim Gugur,2011,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,30.75,34.34355
189,2011-07-08,Musim Gugur,2011,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,29.075847,33.524150000000006
190,2011-07-09,Musim Gugur,2011,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,30.066653000000002,33.2079
191,2011-07-10,Musim Gugur,2011,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,30.6475,34.50125
192,2011-07-11,Musim Gugur,2011,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,31.2625,36.4902
193,2011-07-12,Musim Gugur,2011,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,32.560846999999995,36.96375
194,2011-07-13,Musim Gugur,2011,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,30.613346999999997,34.4702
195,2011-07-14,Musim Gugur,2011,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,27.914153000000002,31.7552
196,2011-07-15,Musim Gugur,2011,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,27.196652999999998,31.21855
197,2011-07-16,Musim Gugur,2011,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,28.153347,31.91315
198,2011-07-17,Musim Gugur,2011,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,29.485847,33.49165
199,2011-07-18,Musim Gugur,2011,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,30.613346999999997,35.19625
200,2011-07-19,Musim Gugur,2011,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,31.843347,37.37395
201,2011-07-20,Musim Gugur,2011,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,31.501653,37.3425
202,2011-07-21,Musim Gugur,2011,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,33.415,41.31855
203,2011-07-22,Musim Gugur,2011,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,34.781653,42.0448
204,2011-07-23,Musim Gugur,2011,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,34.815847,40.214349999999996
205,2011-07-24,Musim Gugur,2011,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,34.03,39.74145
206,2011-07-25,Musim Gugur,2011,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,30.476653000000002,36.0479
207,2011-07-26,Musim Gugur,2011,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,31.638347,34.84895
208,2011-07-27,Musim Gugur,2011,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,31.775000000000002,34.53335
209,2011-07-28,Musim Gugur,2011,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,31.945847,36.995
210,2011-07-29,Musim Gugur,2011,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,34.371653,39.29835
211,2011-07-30,Musim Gugur,2011,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,32.970847,36.42685
212,2011-07-31,Musim Gugur,2011,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,33.039153,36.4898
213,2011-08-01,Musim Gugur,2011,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,31.638347,35.1646
214,2011-08-02,Musim Gugur,2011,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,32.116653,35.35355
215,2011-08-03,Musim Gugur,2011,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,29.998347,33.99685
216,2011-08-04,Musim Gugur,2011,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,29.11,33.2394
217,2011-08-05,Musim Gugur,2011,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,29.144153000000003,32.82835
218,2011-08-06,Musim Gugur,2011,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,29.383347,33.807700000000004
219,2011-08-07,Musim Gugur,2011,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,30.442500000000003,35.7646
220,2011-08-08,Musim Gugur,2011,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,31.365000000000002,35.16415
221,2011-08-09,Musim Gugur,2011,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,31.775000000000002,36.20605
222,2011-08-10,Musim Gugur,2011,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,31.433346999999998,34.24915
223,2011-08-11,Musim Gugur,2011,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,29.4175,32.57605
224,2011-08-12,Musim Gugur,2011,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,29.041653,32.7021
225,2011-08-13,Musim Gugur,2011,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,28.119153,32.2929
226,2011-08-14,Musim Gugur,2011,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,27.743347,31.219400000000004
227,2011-08-15,Musim Gugur,2011,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,27.299153,30.80835
228,2011-08-16,Musim Gugur,2011,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,28.734153000000003,32.29185
229,2011-08-17,Musim Gugur,2011,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,29.656653,33.33355
230,2011-08-18,Musim Gugur,2011,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,29.178347000000002,33.1129
231,2011-08-19,Musim Gugur,2011,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,28.085,31.661050000000003
232,2011-08-20,Musim Gugur,2011,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,28.5975,32.4498
233,2011-08-21,Musim Gugur,2011,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,29.144153000000003,33.776250000000005
234,2011-08-22,Musim Gugur,2011,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,28.358347000000002,31.9127
235,2011-08-23,Musim Gugur,2011,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,26.274153,30.303350000000002
236,2011-08-24,Musim Gugur,2011,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,27.606652999999998,31.5346
237,2011-08-25,Musim Gugur,2011,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,28.050846999999997,32.2927
238,2011-08-26,Musim Gugur,2011,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,28.7,32.98665
239,2011-08-27,Musim Gugur,2011,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,27.880000000000003,31.7778
240,2011-08-28,Musim Gugur,2011,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,28.989418999999998,32.397949999999994
241,2011-08-29,Musim Gugur,2011,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,26.103347,30.3979
242,2011-08-30,Musim Gugur,2011,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,26.205847000000002,29.7352
243,2011-08-31,Musim Gugur,2011,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,26.923347,30.556050000000003
244,2011-09-01,Musim Gugur,2011,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,26.855,30.746050000000004
245,2011-09-02,Musim Gugur,2011,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,26.376653,30.2404
246,2011-09-03,Musim Gugur,2011,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,27.435847,31.66065
247,2011-09-04,Musim Gugur,2011,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,29.075847,33.27145
248,2011-09-05,Musim Gugur,2011,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,27.606652999999998,31.282300000000003
249,2011-09-06,Musim Gugur,2011,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,22.14,25.759999999999998
250,2011-09-07,Musim Gugur,2011,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,24.565847,27.21145
251,2011-09-08,Musim Gugur,2011,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,25.990433,27.76805
252,2011-09-09,Musim Gugur,2011,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,26.650000000000002,28.9473
253,2011-09-10,Musim Gugur,2011,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,27.060000000000002,30.3981
254,2011-09-11,Musim Gugur,2011,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,26.786653,30.46145
255,2011-09-12,Musim Gugur,2011,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,26.418268,30.106500000000004
256,2011-09-13,Musim Gugur,2011,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,26.684153,30.1777
257,2011-09-14,Musim Gugur,2011,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,27.606652999999998,31.345
258,2011-09-15,Musim Gugur,2011,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,23.677500000000002,27.68355
259,2011-09-16,Musim Gugur,2011,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,19.235847,23.07375
260,2011-09-17,Musim Gugur,2011,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,20.158347,23.9256
261,2011-09-18,Musim Gugur,2011,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,20.807499999999997,24.52685
262,2011-09-19,Musim Gugur,2011,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,22.515846999999997,26.48375
263,2011-09-20,Musim Gugur,2011,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,23.028347,26.610850000000003
264,2011-09-21,Musim Gugur,2011,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352,24.395,27.526650000000004
265,2011-09-22,Musim Gugur,2011,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,25.761653000000003,27.74815
266,2011-09-23,Musim Dingin,2011,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,24.975847,26.106249999999996
267,2011-09-24,Musim Dingin,2011,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,24.873347,28.2206
268,2011-09-25,Musim Dingin,2011,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,26.000847,28.631849999999996
269,2011-09-26,Musim Dingin,2011,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,26.615847000000002,29.452099999999998
270,2011-09-27,Musim Dingin,2011,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,26.103347,28.726249999999997
271,2011-09-28,Musim Dingin,2011,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907,26.035,28.757899999999996
272,2011-09-29,Musim Dingin,2011,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839,25.283347,28.7256
273,2011-09-30,Musim Dingin,2011,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,23.130847,27.24145
274,2011-10-01,Musim Dingin,2011,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429,16.81,20.64315
275,2011-10-02,Musim Dingin,2011,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918,14.623347,17.26585
276,2011-10-03,Musim Dingin,2011,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,15.750846999999998,19.6023
277,2011-10-04,Musim Dingin,2011,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456,19.850847,23.6429
278,2011-10-05,Musim Dingin,2011,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826,22.071652999999998,26.3569
279,2011-10-06,Musim Dingin,2011,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765,20.260847000000002,24.02125
280,2011-10-07,Musim Dingin,2011,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,20.944153,25.2202
281,2011-10-08,Musim Dingin,2011,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,21.388347,25.6621
282,2011-10-09,Musim Dingin,2011,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,22.174153,26.19915
283,2011-10-10,Musim Dingin,2011,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,23.404153,27.14625
284,2011-10-11,Musim Dingin,2011,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563,23.233347000000002,27.3048
285,2011-10-12,Musim Dingin,2011,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416,22.276653,25.885849999999998
286,2011-10-13,Musim Dingin,2011,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913,24.155847,27.5902
287,2011-10-14,Musim Dingin,2011,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644,22.584153,26.48375
288,2011-10-15,Musim Dingin,2011,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,20.773346999999998,24.936249999999998
289,2011-10-16,Musim Dingin,2011,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,20.978347,25.1577
290,2011-10-17,Musim Dingin,2011,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857,4570,21.900847,25.53625
291,2011-10-18,Musim Dingin,2011,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748,21.8325,26.13605
292,2011-10-19,Musim Dingin,2011,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254,2170,2424,22.211299,25.6924
293,2011-10-20,Musim Dingin,2011,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195,19.509153,23.32625
294,2011-10-21,Musim Dingin,2011,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676,3628,4304,17.5275,21.1798
295,2011-10-22,Musim Dingin,2011,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308,17.322499999999998,21.2746
296,2011-10-23,Musim Dingin,2011,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,17.288347,21.11665
297,2011-10-24,Musim Dingin,2011,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699,3488,4187,18.996653,22.85335
298,2011-10-25,Musim Dingin,2011,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695,3992,4687,19.338347,23.16875
299,2011-10-26,Musim Dingin,2011,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404,3490,3894,19.850847,23.6423
300,2011-10-27,Musim Dingin,2011,10,0,4,1,2,0.47,0.457046,0.812917,0.197763,240,2419,2659,19.27,22.8523
301,2011-10-28,Musim Dingin,2011,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456,3291,3747,13.564153,15.9406
302,2011-10-29,Musim Dingin,2011,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57,570,627,10.420846999999998,11.39565
303,2011-10-30,Musim Dingin,2011,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885,2446,3331,13.085847,16.06645
304,2011-10-31,Musim Dingin,2011,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,362,3307,3669,13.940000000000001,17.803150000000002
305,2011-11-01,Musim Dingin,2011,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410,3658,4068,16.434153,19.8544
306,2011-11-02,Musim Dingin,2011,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370,3816,4186,15.477500000000001,19.50665
307,2011-11-03,Musim Dingin,2011,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318,3656,3974,16.741653,20.296049999999997
308,2011-11-04,Musim Dingin,2011,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046,16.536653,20.1696
309,2011-11-05,Musim Dingin,2011,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926,13.393346999999999,16.1927
310,2011-11-06,Musim Dingin,2011,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952,2697,3649,14.281653,18.117900000000002
311,2011-11-07,Musim Dingin,2011,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,373,3662,4035,16.195,20.04355
312,2011-11-08,Musim Dingin,2011,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376,3829,4205,16.741653,20.6123
313,2011-11-09,Musim Dingin,2011,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305,3804,4109,16.400000000000002,20.453950000000003
314,2011-11-10,Musim Dingin,2011,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,190,2743,2933,15.58,18.68605
315,2011-11-11,Musim Dingin,2011,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368,13.290847,15.34085
316,2011-11-12,Musim Dingin,2011,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067,14.623347,17.8971
317,2011-11-13,Musim Dingin,2011,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717,18.074153,21.5275
318,2011-11-14,Musim Dingin,2011,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,595,3891,4486,21.73,26.2306
319,2011-11-15,Musim Dingin,2011,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449,3746,4195,21.73,25.37895
320,2011-11-16,Musim Dingin,2011,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817,18.723347,22.5994
321,2011-11-17,Musim Dingin,2011,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139,2914,3053,14.008347,16.16105
322,2011-11-18,Musim Dingin,2011,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245,3147,3392,11.240847,13.63605
323,2011-11-19,Musim Dingin,2011,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943,2720,3663,13.495847,16.22415
324,2011-11-20,Musim Dingin,2011,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787,2733,3520,18.996653,22.8529
325,2011-11-21,Musim Dingin,2011,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,220,2545,2765,18.3475,22.2531
326,2011-11-22,Musim Dingin,2011,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69,1538,1607,17.083347,21.0848
327,2011-11-23,Musim Dingin,2011,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,112,2454,2566,18.074153,21.52685
328,2011-11-24,Musim Dingin,2011,11,1,4,0,1,0.373333,0.372471,0.549167,0.167304,560,935,1495,15.306653,18.62355
329,2011-11-25,Musim Dingin,2011,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,1095,1697,2792,15.375,19.033549999999998
330,2011-11-26,Musim Dingin,2011,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068,15.409152999999998,19.254350000000002
331,2011-11-27,Musim Dingin,2011,11,0,0,0,1,0.459167,0.4558,0.698333,0.208954,810,2261,3071,18.825847,22.79
332,2011-11-28,Musim Dingin,2011,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,253,3614,3867,20.642598,24.5061
333,2011-11-29,Musim Dingin,2011,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96,2818,2914,18.791653,22.56875
334,2011-11-30,Musim Dingin,2011,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,188,3425,3613,13.325000000000001,15.561050000000002
335,2011-12-01,Musim Dingin,2011,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182,3545,3727,12.8125,15.2777
336,2011-12-02,Musim Dingin,2011,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268,3672,3940,12.880847,16.571649999999998
337,2011-12-03,Musim Dingin,2011,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706,2908,3614,12.265847,15.530199999999999
338,2011-12-04,Musim Dingin,2011,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634,2851,3485,13.564153,17.455000000000002
339,2011-12-05,Musim Dingin,2011,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233,3578,3811,15.819153,19.696250000000003
340,2011-12-06,Musim Dingin,2011,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126,2468,2594,18.962500000000002,22.82
341,2011-12-07,Musim Dingin,2011,12,0,3,1,3,0.41,0.400246,0.970417,0.266175,50,655,705,16.81,20.0123
342,2011-12-08,Musim Dingin,2011,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,150,3172,3322,10.899153,12.8469
343,2011-12-09,Musim Dingin,2011,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261,3359,3620,11.924153,15.877099999999999
344,2011-12-10,Musim Dingin,2011,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,502,2688,3190,11.275,13.320599999999999
345,2011-12-11,Musim Dingin,2011,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377,2366,2743,9.054153,12.6577
346,2011-12-12,Musim Dingin,2011,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143,3167,3310,9.771652999999999,13.5098
347,2011-12-13,Musim Dingin,2011,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,155,3368,3523,11.5825,15.0569
348,2011-12-14,Musim Dingin,2011,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178,3562,3740,13.0175,16.9181
349,2011-12-15,Musim Dingin,2011,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181,3528,3709,17.322499999999998,20.61185
350,2011-12-16,Musim Dingin,2011,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,178,3399,3577,15.375,17.99125
351,2011-12-17,Musim Dingin,2011,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275,2464,2739,10.591652999999999,12.46855
352,2011-12-18,Musim Dingin,2011,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220,2211,2431,9.771652999999999,12.27895
353,2011-12-19,Musim Dingin,2011,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260,3143,3403,11.343347,14.04665
354,2011-12-20,Musim Dingin,2011,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216,3534,3750,15.819153,19.822699999999998
355,2011-12-21,Musim Semi,2011,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214,107,2553,2660,17.561653,21.40085
356,2011-12-22,Musim Semi,2011,12,0,4,1,2,0.423333,0.426121,0.7575,0.047275,227,2841,3068,17.356653,21.306050000000003
357,2011-12-23,Musim Semi,2011,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246,163,2046,2209,15.306653,18.87565
358,2011-12-24,Musim Semi,2011,12,0,6,0,1,0.3025,0.299242,0.5425,0.190304,155,856,1011,12.4025,14.9621
359,2011-12-25,Musim Semi,2011,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091,303,451,754,11.266103,13.998050000000001
360,2011-12-26,Musim Semi,2011,12,1,1,0,1,0.321739,0.315535,0.506957,0.239465,430,887,1317,13.191299,15.77675
361,2011-12-27,Musim Semi,2011,12,0,2,1,2,0.325,0.327633,0.7625,0.18845,103,1059,1162,13.325000000000001,16.38165
362,2011-12-28,Musim Semi,2011,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,255,2047,2302,12.264330000000001,13.9987
363,2011-12-29,Musim Semi,2011,12,0,4,1,1,0.248333,0.263892,0.574167,0.119412,254,2169,2423,10.181653,13.194600000000001
364,2011-12-30,Musim Semi,2011,12,0,5,1,1,0.311667,0.318812,0.636667,0.134337,491,2508,2999,12.778347000000002,15.9406
365,2011-12-31,Musim Semi,2011,12,0,6,0,1,0.41,0.414121,0.615833,0.220154,665,1820,2485,16.81,20.70605
366,2012-01-01,Musim Semi,2012,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,686,1608,2294,15.17,18.78105
